planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity,referenced_planet,harmonic_ratio,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars
K01499.03,Candidate,6.20925415,0.061,2MASS J19505382+4331387,9.885491525,5440.0,302.4853135,8.693846668,,nan,Not in HZ,4.095554480038416,3.2429266911101187,1.8206928787291703,1.7261845834421385
K01590.01,Candidate,12.89010472,0.0973,Kepler-1756,9.885491525,4915.0,756.88,54.43239566,,nan,Not in HZ,3.9858163954340293,3.1565149343068573,1.7382244390704367,1.648010304821764
K01590.03,Candidate,4.74664825,0.05,Kepler-1756,9.885491525,4915.0,756.88,54.43239566,,nan,Not in HZ,3.9858163954340293,3.1565149343068573,1.7382244390704367,1.648010304821764
K01681.01,Candidate,6.93911381,0.0532,Kepler-1984 A,16.19,3638.0,203.05,0.011781646,,nan,Not in HZ,4.912183515842144,3.891084431220892,2.0169033117135777,1.9123329852335698
K01681.03,Candidate,3.53106745,0.0339,Kepler-1984 A,16.19,3638.0,203.05,0.011781646,,nan,Not in HZ,4.912183515842144,3.891084431220892,2.0169033117135777,1.9123329852335698
K01681.04,Candidate,21.9140546,0.1092,Kepler-1984 A,16.19,3638.0,203.05,0.011781646,,nan,Not in HZ,4.912183515842144,3.891084431220892,2.0169033117135777,1.9123329852335698
K01860.03,Candidate,3.076452083,0.0414,2MASS J19261367+3913382,9.885491525,5977.0,302.4853135,8.693846668,,nan,Not in HZ,4.228760639809013,3.3478415916316746,1.907828502915865,1.8087959136968006
K01860.04,Candidate,24.8435099,0.1667,2MASS J19261367+3913382,9.885491525,5977.0,302.4853135,8.693846668,,nan,Not in HZ,4.228760639809013,3.3478415916316746,1.907828502915865,1.8087959136968006
K01884.01,Candidate,23.11844759,0.1437,2MASS J19433657+3955060,9.885491525,5275.0,302.4853135,8.693846668,,nan,Not in HZ,4.058358644727568,3.2136349906017334,1.7941959356736725,1.7010659476676147
K01884.02,Candidate,4.77502001,0.0502,2MASS J19433657+3955060,9.885491525,5275.0,302.4853135,8.693846668,,nan,Not in HZ,4.058358644727568,3.2136349906017334,1.7941959356736725,1.7010659476676147
K02037.02,Candidate,5.47715929,0.0576,Kepler-1995,15.51,4693.0,595.331,0.189459765,,nan,Not in HZ,4.944894293446807,3.9162662513985915,2.1362946962057934,2.0254326341695315
K02037.03,Candidate,8.56266484,0.0776,Kepler-1995,15.51,4693.0,595.331,0.189459765,,nan,Not in HZ,4.944894293446807,3.9162662513985915,2.1362946962057934,2.0254326341695315
K02093.01,Candidate,6.78341538,0.0732,2MASS J19314900+4156052,9.885491525,6487.0,302.4853135,8.693846668,,nan,Not in HZ,4.361377909243987,3.452312025974633,1.9865360581144704,1.8834282439209376
K02093.02,Candidate,2.5081152,0.0377,2MASS J19314900+4156052,9.885491525,6487.0,302.4853135,8.693846668,,nan,Not in HZ,4.361377909243987,3.452312025974633,1.9865360581144704,1.8834282439209376
K02093.03,Candidate,0.992140132,0.0203,2MASS J19314900+4156052,9.885491525,6487.0,302.4853135,8.693846668,,nan,Not in HZ,4.361377909243987,3.452312025974633,1.9865360581144704,1.8834282439209376
K02220.04,Candidate,7.66464553,0.0733,2MASS J19363310+4222138,9.885491525,5975.0,302.4853135,8.693846668,,nan,Not in HZ,4.228241874417798,3.3474329649034313,1.9075072890928135,1.8084913550205988
K02220.05,Candidate,11.9294568,0.0984,2MASS J19363310+4222138,9.885491525,5975.0,302.4853135,8.693846668,,nan,Not in HZ,4.228241874417798,3.3474329649034313,1.9075072890928135,1.8084913550205988
K02248.02,Candidate,9.4907638,0.082,Kepler-1813 A,15.682,5167.0,809.32,0.298841251,,nan,Not in HZ,5.08247812609038,4.024718007600531,2.238267247433855,2.1220904270699714
K02248.04,Candidate,2.64622695,0.035,Kepler-1813 A,15.682,5167.0,809.32,0.298841251,,nan,Not in HZ,5.08247812609038,4.024718007600531,2.238267247433855,2.1220904270699714
K02311.01,Candidate,191.864193,16.13423714,2MASS J19085788+3919579,9.885491525,5688.237937,302.4853135,8.693846668,,nan,Not in HZ,4.155264934775836,3.289952724194379,1.861027044326932,1.7644229502648114
K02311.02,Candidate,13.72549689,16.13423714,2MASS J19085788+3919579,9.885491525,5688.237937,302.4853135,8.693846668,,nan,Not in HZ,4.155264934775836,3.289952724194379,1.861027044326932,1.7644229502648114
K02357.01,Candidate,2.42087351,0.0349,2MASS J19324890+4303252,9.885491525,5982.0,302.4853135,8.693846668,,nan,Not in HZ,4.230057957492022,3.348863478115852,1.9086312699898338,1.8095570575414508
K02357.02,Candidate,15.9042292,0.1224,2MASS J19324890+4303252,9.885491525,5982.0,302.4853135,8.693846668,,nan,Not in HZ,4.230057957492022,3.348863478115852,1.9086312699898338,1.8095570575414508
K02369.02,Candidate,6.3143447,0.068,2MASS J19025298+4051250,9.885491525,6075.0,302.4853135,8.693846668,,nan,Not in HZ,4.254275658351576,3.367939892414241,1.9234850144860158,1.823640840545101
K02369.03,Candidate,7.227407,0.0744,2MASS J19025298+4051250,9.885491525,6075.0,302.4853135,8.693846668,,nan,Not in HZ,4.254275658351576,3.367939892414241,1.9234850144860158,1.823640840545101
K02410.01,Candidate,186.6543548,16.13423714,2MASS J19025831+4451281,9.885491525,5688.237937,302.4853135,8.693846668,,nan,Not in HZ,4.155264934775836,3.289952724194379,1.861027044326932,1.7644229502648114
K02410.02,Candidate,86.59322294,16.13423714,2MASS J19025831+4451281,9.885491525,5688.237937,302.4853135,8.693846668,,nan,Not in HZ,4.155264934775836,3.289952724194379,1.861027044326932,1.7644229502648114
K02421.01,Candidate,2.27049088,0.0275,2MASS J19534063+4504172,9.885491525,4671.0,302.4853135,8.693846668,,nan,Not in HZ,3.944277859282995,3.1238128386365562,1.7023588042400073,1.6140167352375199
