planet_name,semi_major_axis,star_distance,star_temperature,mag_v,absolute_magnitude,luminosity
GJ 785 b,0.32,8.911,5144.0,6.13,6.380367781660438,0.2398020477340567
GJ 785 c,1.18,8.911,5144.0,6.13,6.380367781660438,0.2398020477340567
GJ 867 Bb,0.0203,8.838,3328.0,11.48,11.748230013868628,0.0017088659426053548
GJ 86 Ab,0.1177,10.7836,5188.5,6.11,5.946181149766427,0.3577070832827015
GJ 876 b,0.214,4.7,3350.0,10.17,11.809510710321412,0.0016150862354148692
GJ 876 c,0.134,4.7,3350.0,10.17,11.809510710321412,0.0016150862354148692
GJ 876 d,0.021,4.7,3350.0,10.17,11.809510710321412,0.0016150862354148692
GJ 876 e,0.345,4.7,3350.0,10.17,11.809510710321412,0.0016150862354148692
GJ 887 b,0.068,3.2871,3688.0,7.34,9.755935418156557,0.010705965332438026
GJ 887 c,0.12,3.2871,3688.0,7.34,9.755935418156557,0.010705965332438026
GJ 9066 c,0.88,4.4716,3154.0,11.0,12.74768526259649,0.0006806532067787172
