planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,referenced_planet,harmonic_ratio,luminosity,habitable_zone_status,HZ_distance_recent_venus,HZ_distance_runaway_greenhouse,HZ_distance_maximum_greenhouse,HZ_distance_early_mars,stellar_flux_recent_venus,stellar_flux_runaway_greenhouse,stellar_flux_maximum_greenhouse,stellar_flux_early_mars
2MASS J19550200+4109355 c,Aschwaden Prediction,9.520926435,0.083994762,2MASS J19550200+4109355,11.57451405,5472.0,24949.97293,K03029.01,3 to 2,0.002005369,Not in HZ,0.03431570761368996,0.043338393476465155,0.07711277662762729,0.08133470729113706,1.7029754199160378,1.0676986178608205,0.33724196777616455,0.3031394658295437
2MASS J19550200+4109355 b,Aschwaden Prediction,10.57880715,0.090106723,2MASS J19550200+4109355,11.57451405,5472.0,24949.97293,K03029.01,5 to 3,0.002005369,Not in HZ,0.03431570761368996,0.043338393476465155,0.07711277662762729,0.08133470729113706,1.7029754199160378,1.0676986178608205,0.33724196777616455,0.3031394658295437
2MASS J19550200+4109355 c,Aschwaden Prediction,7.934105363,0.074381461,2MASS J19550200+4109355,11.57451405,5472.0,24949.97293,K03029.01,5 to 4,0.002005369,Conservative HZ,0.03431570761368996,0.043338393476465155,0.07711277662762729,0.08133470729113706,1.7029754199160378,1.0676986178608205,0.33724196777616455,0.3031394658295437
2MASS J19550200+4109355 b,Aschwaden Prediction,8.46304572,0.07765162,2MASS J19550200+4109355,11.57451405,5472.0,24949.97293,K03029.01,4 to 3,0.002005369,Optimistic HZ,0.03431570761368996,0.043338393476465155,0.07711277662762729,0.08133470729113706,1.7029754199160378,1.0676986178608205,0.33724196777616455,0.3031394658295437
2MASS J19550200+4109355 c,Aschwaden Prediction,15.86821073,0.11807321,2MASS J19550200+4109355,11.57451405,5472.0,24949.97293,K03029.01,5 to 2,0.002005369,Not in HZ,0.03431570761368996,0.043338393476465155,0.07711277662762729,0.08133470729113706,1.7029754199160378,1.0676986178608205,0.33724196777616455,0.3031394658295437
2MASS J19550200+4109355 b,Aschwaden Prediction,19.04185287,0.133333373,2MASS J19550200+4109355,11.57451405,5472.0,24949.97293,K03029.01,3 to 1,0.002005369,Not in HZ,0.03431570761368996,0.043338393476465155,0.07711277662762729,0.08133470729113706,1.7029754199160378,1.0676986178608205,0.33724196777616455,0.3031394658295437
2MASS J20011977+4459100 b,Aschwaden Prediction,19.261906,0.143659795,2MASS J20011977+4459100,11.57451405,6432.0,24949.97293,K03741.02,2 to 1,0.002005369,Not in HZ,0.03238752711115292,0.04091521183540182,0.07116530506027627,0.0750612968502921,1.9117835396841423,1.1979113754548505,0.39596579027948614,0.3559280129336481
2MASS J20011977+4459100 c,Aschwaden Prediction,14.4464295,0.118588548,2MASS J20011977+4459100,11.57451405,6432.0,24949.97293,K03741.02,3 to 2,0.002005369,Not in HZ,0.03238752711115292,0.04091521183540182,0.07116530506027627,0.0750612968502921,1.9117835396841423,1.1979113754548505,0.39596579027948614,0.3559280129336481
2MASS J20011977+4459100 b,Aschwaden Prediction,16.05158833,0.12721776,2MASS J20011977+4459100,11.57451405,6432.0,24949.97293,K03741.02,5 to 3,0.002005369,Not in HZ,0.03238752711115292,0.04091521183540182,0.07116530506027627,0.0750612968502921,1.9117835396841423,1.1979113754548505,0.39596579027948614,0.3559280129336481
2MASS J20011977+4459100 c,Aschwaden Prediction,12.03869125,0.105015947,2MASS J20011977+4459100,11.57451405,6432.0,24949.97293,K03741.02,5 to 4,0.002005369,Not in HZ,0.03238752711115292,0.04091521183540182,0.07116530506027627,0.0750612968502921,1.9117835396841423,1.1979113754548505,0.39596579027948614,0.3559280129336481
