planet_name,planet_status,orbital_period,semi_major_axis,star_name,mag_v,star_teff,star_distance,luminosity
Kepler-1371 b,Confirmed,3.4462039,23.20727704,Kepler-1371,10.81796395,5361,450,8.151535967
Kepler-1371 c,Confirmed,2.00541269,23.20727704,Kepler-1371,10.81796395,5361,450,8.151535967
Kepler-137 b,Confirmed,8.436387,0.077,Kepler-137,10.81796395,5187,305.65,3.760652649
Kepler-137 c,Confirmed,18.735753,0.13,Kepler-137,10.81796395,5187,305.65,3.760652649
Kepler-1388 b,Confirmed,12.2854603,23.20727704,Kepler-1388,10.81796395,4098,492,9.74416495
Kepler-1388 c,Confirmed,5.53608151,23.20727704,Kepler-1388,10.81796395,4098,492,9.74416495
Kepler-1388 d,Confirmed,20.9568158,23.20727704,Kepler-1388,10.81796395,4098,492,9.74416495
Kepler-1388 e,Confirmed,37.6327084,23.20727704,Kepler-1388,10.81796395,4098,492,9.74416495
Kepler-138 b,Confirmed,10.3126,0.0746,Kepler-138,10.81796395,3841,66.99,0.180648507
Kepler-138 c,Confirmed,13.7813,23.20727704,Kepler-138,10.81796395,3841,66.99,0.180648507
Kepler-138 d,Confirmed,23.0881,23.20727704,Kepler-138,10.81796395,3841,66.99,0.180648507
Kepler-138 e,Confirmed,4,23.20727704,Kepler-138,10.81796395,3841,66.99,0.180648507
Kepler-1398 b,Confirmed,2.78815679,23.20727704,Kepler-1398,10.81796395,6126,793,25.31400119
Kepler-1398 c,Confirmed,4.13827595,23.20727704,Kepler-1398,10.81796395,6126,793,25.31400119
Kepler-139 b,Confirmed,15.771044,0.127,Kepler-139,10.81796395,5594,395.45,6.29502677
Kepler-139 c,Confirmed,157.072878,0.586,Kepler-139,10.81796395,5594,395.45,6.29502677
Kepler-139 d,Confirmed,7.305699922,0.076,Kepler-139,10.81796395,5594,395.45,6.29502677
Kepler-139 e,Confirmed,2047,3.23,Kepler-139,10.81796395,5594,395.45,6.29502677
Kepler-140 Ab,Confirmed,3.254277742,0.0443,Kepler-140 A,10.81796395,6108.41,583.859,13.72240964
Kepler-140 Ac,Confirmed,91.3514816,0.409,Kepler-140 A,10.81796395,6108.41,583.859,13.72240964
Kepler-141 b,Confirmed,3.107675,0.039,Kepler-141,10.81796395,4910,303.83,3.716000201
Kepler-141 c,Confirmed,7.010606,0.067,Kepler-141,10.81796395,4910,303.83,3.716000201
